feature,cont_0,cont_1,cont_2,cont_3,cont_4,cont_5,cont_6
crosses_per90,0.5938419988573855,0.26425999484076806,0.09467381731321396,0.528780779921139,-0.20352762519171042,0.10675499400517473,0.04618432584742736
crosses_pct,0.045768942837490736,0.15378540229667437,0.1417363821163876,0.1949193308502332,-0.02672559328081717,0.061628464397252225,0.03227214203678617
chipped_passes_per90,0.10312212346864351,0.8026163358776626,-0.021518238686563683,-0.01199626969053939,-0.21450235524962663,-0.18602272749221682,-0.008252745386538956
chipped_passes_pct,0.23562308845356808,0.07687421485182266,0.2926512152283197,-0.4245398275047378,0.4996386152371138,0.0206517936212594,-0.0645144167633962
touches_per90,0.2498470974320626,0.9091386136745127,-0.05473798095398782,-0.15570894024611542,-0.08261206607153772,-0.11127297216936817,-0.006590608066479359
dribbles_per90,0.7365226697445114,0.10443586141082095,-0.06102271997180967,0.08439730802252064,0.0577402069240192,0.3735079759146437,0.0716205096688633
dribbles_pct,-0.20337315031717906,0.3395743120251289,0.15545998209441517,-0.24068331401766366,-0.055957919501141117,0.40466396508833813,0.00760996374787889
dispossessed_per90,0.8180914837417997,-0.07577291886584836,-0.2518520950878516,0.01282190512552202,0.20341733780264332,0.1377984568704513,0.028114306019372877
possession_lost_per90,0.7429334707099262,0.42016537251290353,-0.308406461531186,0.21672384309864126,-0.15912166164478628,0.022011722173161115,0.04762573540645511
ball_recoveries_per90,0.35000184145745034,0.806650326820633,-0.19972016417359348,0.015853357065774794,0.1617933641762785,-0.015950967205674724,-0.002465524527743759
possession_won_att_third_per90,0.841170367425536,0.09029941611269098,-0.0810439012048279,-0.007920822295230228,0.18184206288996208,0.037747971536978495,0.013445571967631622
tackles_per90,0.09767882858658063,0.7409262112657381,-0.27853942815105465,0.13698959609581707,0.2267974544036416,-0.01899585316498415,-0.054932417524659986
tackles_won_pct,-0.01671842106118109,0.07223227985967809,0.017942252465702083,0.050183827587834684,-0.1330194677730295,0.14411311534742713,0.011352565306772922
interceptions_per90,-0.23012877183230743,0.7298470519632605,-0.25604848698873695,-0.0782459813497127,-0.011438840051096664,-0.11298648938564192,0.011333051707901103
clearances_per90,-0.5349307989113897,0.47996478038675583,-0.306089217951624,-0.23815791551142054,-0.32259240219779284,-0.08899474692385549,0.03925904786564332
blocked_shots_per90,0.8473185235230642,-0.05299783037127506,-0.12116984304393455,-0.12584404162159035,-0.07790430570897885,0.13525483789087897,0.028771411578737607
dribbled_past_per90,0.4239580610904113,0.5512513811008705,-0.23545771462203807,0.27565427262558406,0.26286890939861973,-0.14022919333734832,-0.0791539786561715
aerials_won_pct,-0.46920456459807913,0.33912323197913163,-0.11859586733406649,-0.37182014456553014,-0.24697285828177,0.058434834383951126,0.019243097406519364
ground_duels_won_pct,-0.4586234121203185,0.4914313864937241,0.21378707326724428,-0.13584771380120683,-0.1379979807149505,0.5452612427079877,0.0784018547844671
duels_won_pct,-0.5301068452387877,0.5251929726060643,0.12732628308536648,-0.2626379449469579,-0.22090197626990737,0.44363969089359945,0.08208993674991258
fouls_per90,0.3553487480611196,0.3123536290566929,-0.5842162447711692,-0.10544351770015536,0.2805639729942845,-0.14817408770416704,-0.029201881578001975
fouled_per90,0.6230639622269074,0.17136644468512982,-0.2772568513511327,-0.06293973945015613,0.17195541080917298,0.40013251387625964,0.09025441440792487
